1809	22
1811	33
1812	24
1813	27
1814	29
1815	29
1816	43
1817	25
1818	33
1819	31
1821	35
1823	51
1827	46
1828	14
1829	14
1831	21
1832	17
1833	13
1835	21
1837	18
1838	25
1839	24
1840	146
1841	526
1842	662
1843	564
1844	339
1845	280
1846	279
1847	241
1848	245
1849	211
1850	215
1851	233
1852	237
1853	230
1854	140
1855	178
1856	249
1857	257
1858	235
1859	223
1860	169
1861	202
1862	191
1863	169
1864	159
1865	134
1866	144
1867	366
1868	513
1869	423
1870	428
1871	489
1872	494
1873	568
1874	457
1875	459
1876	451
1877	395
1878	511
1879	504
1880	819
1881	945
1882	506
1883	1166
1884	1345
1885	1466
1886	1497
1887	1468
1888	1253
1889	1590
1890	1093
1891	976
1892	1449
1893	1694
1894	1214
1895	1578
1896	1858
1897	1945
1898	1918
1899	1584
1900	1588
1901	1769
1902	1777
1903	2002
1904	1952
1905	2168
1906	2121
1907	2110
1908	2746
1909	3009
1910	3066
1911	3385
1912	3364
1913	3588
1914	3583
1915	3378
1916	3186
1917	2943
1918	2909
1919	3141
1920	3350
1921	3381
1922	3524
1923	3813
1924	4212
1925	4445
1926	4746
1927	5347
1928	4974
1929	5062
1930	4956
1931	4880
1932	5066
1933	5072
1934	5040
1935	5142
1936	4876
1937	4850
1938	5301
1939	5098
1940	4572
1941	4383
1942	4311
1943	4238
1944	4446
1945	20235
1946	53833
1947	64792
1948	70462
1949	62523
1950	85580
1951	103643
1952	107961
1953	108699
1954	105649
1955	108492
1956	106997
1957	111474
1958	109456
1959	109972
1960	112116
1961	120047
1962	125566
1963	141293
1964	161899
1965	176555
1966	179848
1967	191705
1968	207714
1969	214878
1970	219033
1971	223121
1972	227301
1973	230688
1974	234577
1975	248397
1976	254317
1977	261173
1978	271570
1979	280825
1980	279486
1981	282257
1982	294399
1983	308276
1984	317265
1985	334101
1986	348149
1987	366062
1988	384246
1989	400740
1990	408510
1991	410093
1992	415733
1993	423656
1994	435272
1995	446399
1996	456045
1997	453585
1998	471124
1999	490858
2000	528476
2001	541066
2002	556390
2003	582121
2004	618030
2005	654350
2006	681856
2007	707587
2008	747792
2009	780982
2010	818527
2011	870343
2012	933522
2013	990599
2014	1039215
2015	1140206
2016	10605
